Site,,,Address,Dolium no.,Ext. rim diam.,Int. rim diam.,wall thickness,Volume (amph),Volume (l),how vol indicated,Height,pres. height,depth,pres depth,ext belly diameter ,int belly diameter,base diameter,size (sm/med/lrg),type (spherical/cylindrical),Repairs/Modifications,Fill - I,Mat.,Stage,Fill - E,Mat. 2,Stage 2,DD - I,Mat. 3,Stage 3,DD - E,Mat. 4,Stage 4,DDT - I,Mat. 5,Stage 5,DDT - E,Mat. 6,Stage 6,Staple,Mat. 7,Stage 7,Clamp,Mat. 8,Stage 8,Hybrid,Mat. 9,Stage 9,Types of Repairs,Lead,Lead Alloy,Both,Iron in Lead,Production Phase,Use Life,Both of last two,Unknown,Modifications,Stamp,Incision,context,contents?,Notes,Other,
Pompeii,,,V.IV.6-7,2,53,38,--,--,--,--,--,--,--,--,--,--,--,,Spherical,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,,,,,,,,--,--,Distribution,L - wine,Shop,no permission,
Pompeii,,,V.IV.6-7,3,64,40,--,--,--,--,--,--,--,--,100,--,--,,Spherical,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,,,,,,,,Y,,Distribution,L - wine,Shop,no permission,
Pompeii,,,V.IV.6-7,4,52,37,--,--,--,--,--,--,--,--,70,--,--,,Cylindrical,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,,,,,,,,--,--,Distribution,L - wine,Shop,no permission,
Pompeii,,,V.IV.6-7,5,60,38,--,--,--,--,--,--,--,--,100,--,--,,Spherical,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,,,,,,,,Y,,Distribution,L - wine,Shop,no permission,
Pompeii,,,V.IV.6-7,6,49,30,--,--,--,--,--,--,--,--,74,--,--,,Cylindrical,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,,,,,,,,--,--,Distribution,L - wine,Shop,no permission,
Pompeii,,,V.IV.6-7,7,63,42,--,--,--,--,--,--,--,--,70,--,--,,Cylindrical,Y,--,--,--,--,--,--,--,--,--,Y,L,P,--,--,--,--,--,--,--,--,--,Y,L,Unk,--,--,--,2,Y,--,,,Y,,,,Y,,,Distribution,L - wine,Shop,no permission,
Pompeii,,,V.IV.6-7,8,60,41,--,--,--,--,--,--,--,--,80,--,--,,Cylindrical,Y,--,--,--,--,--,--,--,--,--,Y,L,P,--,--,--,--,--,--,Y,LI,U,--,--,--,--,--,--,2,Y,,,,Y,Y,Y,,,,,Distribution,L - wine,Shop,no permission,
Pompeii,,,IX.IX.1,1,60,43,--,,330,calculate,--,--,--,85,--,70,--,,Cylindrical,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,,--,--,--,--,--,--,--,Distribution,D - unk,Thermapolium,,
Pompeii,,,IX.IX.1,2,54,39,--,,210,calculate,--,--,--,70,--,62,--,,Cylindrical,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,,--,--,--,--,--,--,--,Distribution,D - unk,Thermapolium,,
Pompeii,,,IX.IX.1,3,56,37,--,,340,calculate,--,--,--,84,--,72,--,,Cylindrical,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,,--,--,--,--,--,--,--,Distribution,D - unk,Thermapolium,,
Pompeii,,,IX.IX.1,4,50,36,--,,170,calculate,--,--,--,70,--,58,--,,Cylindrical,Y,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Y,L,Unk,--,--,--,1,Y,--,--,,--,--,--,--,--,--,--,Distribution,D - unk,Thermapolium,,
Pompeii,,,IX.IX.10,1,53,32,3.5,,425,pompeiiinpictures,--,--,--,80,95,--,--,Medium,Spherical,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,,--,--,--,--,--,--,--,?,L - wine,Garden/vineyard,,
Pompeii,,,I.XIV.15,1,48,32,--,,120,calculated,,--,--,77,--,55,--,Small,Cylindrical,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,,--,--,--,--,--,--,--,Distribution,D - unk,Thermapolium,,
Pompeii,,,I.XIV.15,2,53,30,--,,270,calculated,,--,--,70,--,70,--,,Cylindrical,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,,--,--,--,--,--,--,--,Distribution,D - unk,Thermapolium,,
Pompeii,,,I.XIV.15,3,52,34,--,,310,calculated,,--,--,80,--,70,--,,Cylindrical,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,,--,--,--,--,--,--,--,Distribution,D - unk,Thermapolium,,
Pompeii,,,VII.V.21,1,78,45,--,,,,,--,--,--,140,--,--,Large,Spherical,Y,--,--,--,--,--,--,--,--,--,Y,LA,P,--,--,--,Y,LA,P,--,--,--,--,--,--,--,--,--,2,--,Y,--,,Y,--,--,--,--,--,--,Distribution,L,Shop,,
Pompeii,,,II.I.8-9,1,50,30,3,,,,,65,,--,80,--,--,small/medium,spherical,Y,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Y,L,Unk,Y,L,Unk,--,--,--,2,Y,--,,,,,,Y,,--,--,Production,L - wine,Garden/vineyard,,
Pompeii,,,I.VIII.15,1,--,--,3,,--,--,--,--,--,70,82,77,--,Large,Spherical,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,,,,,,,,--,--,Distribution,D - unk,Thermapolium,,
Pompeii,,,I.VIII.15,2,48,31,--,,156,3D model,--,--,--,76,--,50,--,,Spherical,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,,,,,,,,--,--,Distribution,D - unk,Thermapolium,,
Pompeii,,,I.VIII.15,3,60,41,--,,180,calculate,--,--,--,70,--,62,--,,Cylindrical,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,,,,,,,,--,--,Distribution,D - unk,Thermapolium,,
Pompeii,,,I.VIII.15,4,56,39.5,--,,155,3D model,--,--,--,74,--,62,--,,Cylindrical,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,,,,,,,,--,--,Distribution,D - unk,Thermapolium,,
Pompeii,,,I.VIII.15,5,56,37,--,,244,calculate,--,--,--,76,--,64,--,,Cylindrical,Y,Y,L,U,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,--,Y,,,,,,,,--,--,Distribution,D - unk,Thermapolium,,
Pompeii,,,I.VIII.15,6,51,32,--,,180,3D model,--,--,--,82,--,57,--,,Cylindrical,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,,,,,,,,--,--,Distribution,D - unk,Thermapolium,,
Pompeii,,,VI.IX.2,1,64,39,--,--,--,--,--,115,--,--,100,--,--,Large,Spherical,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,,,,,,,,--,--,?,Lime - REUSE,Garden,,
Pompeii,,,VI.IX.2,2,--,--,2.5,,230,calculate,,76,--,--,62,--,--,,Cylindrical,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,,,,,,,,--,--,?,?,Garden,,
Pompeii,,,VI.XV.13-15,1,43,28,--,--,--,--,--,--,--,--,60,--,--,small,Spherical,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,,,,,,,,--,--,Distribution,L,Shop,,
Pompeii,,,VI.XV.13-15,2,40,26,--,,120,calculate,--,--,--,60,--,51,--,,Cylindrical,Y,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Y,NA,P,--,--,--,1,--,--,--,,Y,,,,,--,--,Distribution,D - unk,Thermapolium,,
Pompeii,,,VI.XV.13-15,3,41,26,--,,100,3D model,--,--,--,64,--,56,--,,Spherical,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,,,,,,,--,--,Distribution,D - unk,Thermapolium,,
Pompeii,,,VI.XV.13-15,4,44,32,--,,140,calculate,--,--,--,73,--,45,--,,Cylindrical,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,,,,,,,--,--,Distribution,D - unk,Thermapolium,,
Pompeii,,,VI.XV.13-15,5,65,42,--,--,--,--,--,--,--,50,--,45,--,large,Spherical,Y,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Y,NA,P,--,--,--,1,--,--,--,,Y,,,,,--,--,Distribution,L,Shop,,
Pompeii,,,VI.XV.13-15,frag 1,--,--,--,,--,--,--,--,--,--,--,--,--,large,Spherical,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,,--,,,,,--,--,Distribution,?,?,,
Pompeii,,,VI.XV.13-15,frag 2,--,--,3.2,,--,--,--,--,--,--,--,--,--,large,Spherical,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,,--,,,,,--,--,Distribution,?,?,,
Pompeii,,,VI.XV.16,1,--,36,2.3,,180,calculate,--,--,76,--,--,54,--,,Cylindrical,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,,--,,,,,--,--,distribution,D - unk,Thermapolium,,
Pompeii,,,VI.XV.16,2,--,--,--,--,--,--,--,--,--,--,--,--,--,large,Spherical,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,,--,,,,,--,--,Distribution,L,Shop,,
Pompeii,,,VI.XIV.21-22,1,45,29,--,--,--,--,--,--,--,--,--,--,--,small,Cylindrical,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,,--,,,,,--,--,Other,L,Fullonica,,
Pompeii,,,VI.XIV.27,1,50,31,--,--,--,--,--,--,--,--,--,--,--,large,Spherical,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,,--,,,,,--,--,Storage,?,House,,
Pompeii,,,VI.XIV.27,2,44,26.5,--,,136+,3D,--,--,--,--,75,--,--,large,Spherical,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,,--,,,,,--,--,Storage,?,House,,
Pompeii,,,VI.XIV.27,3,--,--,2.7,,--,--,--,--,--,--,82,--,--,large,Spherical,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,,--,,,,,--,--,Storage,?,House,,
Pompeii,,,VI.XIV.27,frag 1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Spherical,Y,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Y,NA,P,--,--,--,1,--,--,--,,Y,,,,,--,--,Storage,?,House,,
Pompeii,,,VII.IV.58,1,34,24,--,--,--,--,--,--,--,--,55,--,--,--,Spherical,Y,--,--,--,--,--,--,--,--,--,Y,L,U,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,Y,--,--,,--,Y,--,--,--,--,--,?,?,Shop,,
Pompeii,,,VI.IX.10,1,64,40,--,--,--,--,--,75,--,--,115,--,--,--,Spherical,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,,--,--,--,--,--,--,--,?,?,?,,
Pompeii,,,VI.IX.10,2,53,38,--,,193,calculate,--,60,--,--,64,--,--,,Cylindrical,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,,--,--,--,--,--,--,--,?,?,?,,
Pompeii,,,VI.VIII.11,1,78,49,--,--,--,--,--,--,--,--,90,--,--,large,Cylindrical,Y,--,--,--,Y,Unk,U,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,--,--,--,,--,Y,--,--,Y,--,--,Distribution,?,Shop,,
Pompeii,,,VI.VIII.9-10,1,73.5,51,--,,482,calculate,,83,--,--,86,--,--,--,Cylindrical,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,,--,--,--,--,--,Y,--,Distribution,?,Shop,A(uli) APPVLEI HILARONIS,
Pompeii,,,VI.VIII.9-10,2,78,54,3.7,,531,calculate,,75,--,--,100,95,--,,Cylindrical,Y,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Y,NA,U,--,--,--,--,--,--,1,--,--,--,,--,Y,--,--,--,--,--,Distribution,?,Shop,,
Pompeii,,,VI.VIII.9-10,3,--,--,3.3,,--,--,--,--,--,--,88,80,--,,Cylindrical,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,,--,--,--,--,--,--,--,Distribution,?,Shop,,
Pompeii,,,VI.VIII.9-10,4,--,--,2.5,,--,--,--,--,--,--,70,--,--,,Cylindrical,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,,--,--,--,--,--,--,--,Distribution,?,Shop,,
Pompeii,,,VI.VIII.9-10,5,38,25,--,--,--,--,--,--,--,--,53,--,--,small,Cylindrical,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,,--,--,--,--,--,--,--,Distribution,?,Shop,,
Pompeii,,,VI.VIII.8,1,49.5,34,--,--,--,--,--,--,--,--,60,--,--,,Cylindrical,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,,--,--,--,--,Y,--,--,Distribution,D - unk,Shop,,
Pompeii,,,VI.VIII.8,2,59,37,--,--,--,--,--,--,--,--,90,--,--,,Cylindrical,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,,--,--,--,--,Y,--,--,Distribution,D - unk,Shop,,
Pompeii,,,VI.VIII.8,3,--,27,--,--,--,--,--,--,--,--,--,--,--,,Cylindrical,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,Distribution,D - unk,Thermapolium,,
Pompeii,,,VI.VIII.8,4,47,32,--,--,--,--,--,--,--,--,--,--,--,,Cylindrical,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,Distribution,D - unk,Thermapolium,,
Pompeii,,,VI.VIII.8,5,41,28,--,--,--,--,--,--,--,--,--,--,--,,Cylindrical,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,Distribution,D - unk,Thermapolium,,
Pompeii,,,VI.VIII.8,6,67,48,--,--,--,--,--,--,--,--,--,--,--,,Cylindrical,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,Y,--,Y,--,--,Y,--,--,Distribution,D - unk,Thermapolium,,
Pompeii,,,VI.VIII.8,7,75,50,--,--,--,--,--,--,--,--,--,--,--,,Cylindrical,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,,--,--,--,--,Y,--,Y,Distribution,D - unk,Thermapolium,,
Pompeii,,,VI.VIII.8,8,77,48,--,--,--,--,--,--,--,--,--,--,--,,Cylindrical,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,Y,--,Y,Distribution,D - unk,Thermapolium,,
Pompeii,,,VI.VIII.8,9,83,55,--,--,--,--,--,--,--,--,--,--,--,,Cylindrical,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,Y,Y,Distribution,D - unk,Thermapolium,,
Pompeii,,,VI.VIII.8,10,75,49,--,--,--,--,--,--,--,--,--,--,--,,Cylindrical,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,Y,Y,Distribution,D - unk,Thermapolium,CXV,LAVRINI PINNIAES
Pompeii,,,VI.VIII.8,11,,36,--,--,--,--,--,50,--,--,--,--,--,,Cylindrical,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,Distribution,D - unk,Thermapolium,,
Pompeii,,,VII.XVI.4,1,48,32,--,--,--,--,--,55,--,65,65,--,--,small,Spherical,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,Distribution,?,Shop,,
Pompeii,,,VII.XVI.6,1,42,26,--,--,--,--,--,66,--,56,62,54,--,small,Spherical,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,Distribution,D - flour,Mills,,
Pompeii,,,VII.XVI.7,1,39,25,--,--,--,--,--,45,--,47,62,51,--,small,Spherical,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,Distribution,L,Shop,,
Pompeii,,,VII.XVI.7,2,--,--,2.6,,--,--,--,--,--,--,60,54,--,small,Spherical,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,Distribution,L,Shop,,
Pompeii,,,VII.XVI.7,3,42,26,--,--,--,--,--,--,--,--,--,--,--,small,Spherical,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,Distribution,D - unk,Thermapolium,,
Pompeii,,,II.V.5,1,61,43,--,,550,3D model,--,--,105,--,--,120,--,large,Spherical,Y,--,--,--,--,--,--,--,--,--,Y,L,P,--,--,--,Y,L,P,--,--,--,Y,L,Unk,--,--,--,3,Y,--,--,,Y,--,M,Y,--,--,--,Production,L - wine,Vineyard,,
Pompeii,,,II.V.5,2,--,--,3.6,,300,3D model,--,--,80,--,--,85,--,large,Spherical,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,,--,--,--,--,--,--,--,Production,L - wine,Vineyard,,
Pompeii,,,II.V.5,3,69,44,--,,,,--,--,115,--,--,117,--,large,Spherical,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,,--,--,--,--,--,--,--,Production,L - wine,Vineyard,,
Pompeii,,,II.V.5,4,71,45,--,,600,3D model,--,--,104,--,--,117,--,large,Spherical,Y,--,--,--,--,--,--,--,--,--,Y,NA,P,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,--,--,--,,Y,--,--,--,--,Y,--,Production,L - wine,Vineyard,EROTICV (S? I?),
Pompeii,,,II.V.5,5,70,45,--,,600,3D Model,--,--,104,--,--,120,--,large,Spherical,Y,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Y,L,P,--,--,--,--,--,--,--,--,--,1,Y,--,--,,Y,--,--,--,--,--,--,Production,L - wine,Vineyard,,
Pompeii,,,II.V.5,6,65,42,--,,,,--,--,105,--,--,110,--,large,Spherical,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,,--,--,--,--,--,--,--,Production,L - wine,Vineyard,,
Pompeii,,,II.V.5,7,71,45,--,,770,3D Model,,--,106,--,--,120,--,large,Spherical,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,,--,--,--,--,--,Y,--,Production,L - wine,Vineyard,illlegible,
Pompeii,,,II.V.5,8,72,46,4.7,,630,3D model,,--,102,--,--,84,--,large,Spherical,Y,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Y,NA,P,Y,L,U,Y,L,Unk,Y,L,U,3,Y,--,--,,Y,Y,Y,--,--,--,--,Production,L - wine,Vineyard,,
Pompeii,,,II.V.5,9,--,--,4.6,,300,3D model,,--,80,--,--,120,--,large,Spherical,Y,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Y,L,P,--,--,--,1,Y,--,--,,Y,--,--,Y,--,--,--,Production,L - wine,Vineyard,,
Pompeii,,,II.V.5,10,77,49,--,,750,3D model,,--,116,--,--,120,--,large,Spherical,Y,--,--,--,Y,L,U,--,--,--,Y,L,P,--,--,--,Y,L,P,--,--,--,--,--,--,--,--,--,3,Y,--,--,,Y,Y,Y,--,--,--,--,Production,L - wine,Vineyard,,
Pompeii,,,I.III.20/22,4,,,,,,,,--,,,,,,,Cylindrical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,L - wine,Jashemski p. 27; no permesso. four large embedded dolia,,
Pompeii,,,VII.13.20,1,46,30,4.1,,150,3D Model,,--,--,68,--,64,--,,spherical,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,,,--,--,--,--,--,--,--,Distribution,D - unk,Thermapolium,,
Pompeii,,,VII.13.20,2,--,--,2.4,,77,calculated,,--,--,58,--,43,--,,cylindrical,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,,,--,--,--,--,--,--,--,Distribution,D - unk,Thermapolium,,
Pompeii,,,VII.13.20,3,--,--,2.2,,64,calculated,,--,--,44,--,43,--,,cylindrical,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,,,--,--,--,--,--,--,--,Distribution,D - unk,Thermapolium,,
Pompeii,,,VII.13.20,4,--,--,2.1,,41,calculated,,--,--,45,38,34,--,,cylindrical,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,,,--,--,--,--,--,--,--,Distribution,D - unk,Thermapolium,,
